Title ,Date ,Time,Speaker Name,LinkedIn,Designation,Company,Platform where conducted,Registration,Youtube Link,Duration,Session Summary ,Attendee,Poster Image URL,Post Shared Link on LinkedIn,WatchTime in Hrs.,Likes,Total Views ,Feedbacks ,Resources shared by speaker during session,Screenshots of meetings
Unlock Your hidden potential and live life to the fullest,08/03/2025,18:00,Dr. Naga Swathi T.J,https://www.linkedin.com/in/drnagaswathitj/,Global Senior Director,SAP,CMX,live,https://www.youtube.com/watch?v=QTazZvDYFAw,53mins ,"This 53-minute video features a guest lecture by Dr. Naga Swathi, a veteran SAP strategist, author, and energy transformation coach, as part of the #5 EMpowerHer series. The session focuses on strategies to overcome mental blocks, identify personal strengths, and achieve a fulfilling life through ""makeovers.""

1. Defining and Identifying Potential
Dr. Swathi begins by redefining ""potential"" as the internal strength, courage, and stamina required to achieve targets [03:22]. She emphasizes that everyone has a hidden talent—whether it's coding, mathematics, or communication—but it is often obscured by societal pressure and the pursuit of external validation, such as high grades [04:16].

To help viewers find their true calling, she proposes four reflective questions:

What is the one thing you can do without the limit of time and effort (what brings you joy)? [05:37]

Is there a possibility of making this a source of income? [06:39]

What can you be or do to turn this passion into a profession? [07:15]

What are your true skills versus what you ""truly desire""? [08:41]

2. Breaking the ""Invisible Cages""
A core theme is the ""four makeovers"" needed to unlock potential. Dr. Swathi explains that humans are often trapped in ""invisible cages"" built by:

Childhood Conditioning: She shares a story of an elephant that stays tied to a small stake because it was conditioned as a calf to believe it couldn't move [10:58].

Subconscious Scripts: She recounts personal anecdotes where her mother’s comments about always being ""second"" created a subconscious block that followed her into her professional career [12:10].

Fear of Success/Failure: Many people avoid the ""limelight"" because they fear the added expectations that come with being a high achiever [16:49].

3. Practical Tools for Personal Growth
Dr. Swathi offers several actionable techniques to manage energy and mindset:

Journaling: Described as the ""biggest tool,"" journaling helps bring subconscious ""garbage"" to light [19:58].

Mind Mapping: Used to gain clarity on complex ideas by visualizing resources, finances, and pros/cons [24:27].

The 3 Questions for Ideas: Always ask Why (is it needed?), What (am I doing?), and How (will I do it?) [29:17].

Energy Management: Instead of ""work-life balance,"" she advocates for ""Work-Life Integration."" She suggests taking 1–2 minute ""breathing breaks"" every hour to clear mental ""traffic"" [37:32].

4. Q&A and Overcoming Social Pressures
During the Q&A session, she addresses common concerns for women in tech:

Parental Expectations: She suggests shifting perspective to view parental concern as a protective ""shield"" rather than a projection of pressure [33:59].

Imposter Syndrome: She warns against the anxiety of ""falling behind"" others. She encourages viewers to nurture themselves and recognize that resting is part of the growth process [46:16].

Prioritization: To avoid burnout from signing up for too many initiatives, she advises choosing the one thing that will provide the most value and focusing on it deeply [48:13].

Conclusion: The talk concludes with a call to action to practice gratitude and a 4-step process for problem-solving: Question, Journal, Visualize, and Affirm [39:27].",,,https://www.linkedin.com/posts/girlsleadingtech_rejuvenated-after-madhu-mams-breathing-exercises-activity-7305600888390262785-0yzt?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,7.8,10,108,,,
Discussion on Mental Health,08/03/2025,20:45,Madhu Sathvik,https://www.facebook.com/madhu.sathvik/,Founder,Satwa Yoga,CMX,live,https://www.youtube.com/watch?v=0BBn6bgb_F8,48mins 29s,"This video features Madhu Sathvik, a yoga trainer and life coach, discussing holistic approaches to mental health and wellness. She emphasizes that mental well-being can be achieved naturally through lifestyle changes, nutrition, and mindfulness.

Core Pillars of Mental Wellness
The Gut-Brain Connection: Madhu explains that food is not just for physical health but directly impacts mental states [04:01]. She advocates for Sattvic food—fresh, wholesome, and home-cooked meals—which boosts energy and focus, whereas processed junk food can lead to acidity and a cluttered mind [05:10].

Celebrating Movement: She warns against being ""desk-bound"" or ""couch-bound,"" noting that ""sitting is the new smoking"" [08:27]. Physical activity releases ""happy hormones"" like dopamine and is a quick way to calm overthinking and anxiety [09:16].

Sleep Hygiene and Circadian Rhythm: The speaker highlights how blue light from screens disrupts melatonin and the body's natural biorhythm [13:12]. She suggests shutting off all screens at least 90 minutes before bed to improve hormonal balance and sleep quality [14:49].

Vitamin D and Nature: Sunlight is crucial as it helps produce Vitamin D, which acts as a hormone regulating mood and mental health [17:54].

Psychological & Emotional Well-being
Living with Purpose: Having a clear sense of purpose or a ""vision board"" provides the excitement needed to wake up positively [20:45].

Relationship with Self: Madhu stresses that the first relationship we have is with ourselves [23:21]. She encourages questioning negative self-talk and affirming one's own value to build confidence [25:45].

Service to Others: Acts of service, even just listening to someone, help shift focus away from one's own problems and foster a sense of gratitude [26:46].

Surrender and Faith: She advises accepting that not everything is within our control [28:33]. Believing in a ""benevolent force"" or a divine plan can help one be less harsh on themselves during difficult times [30:36].

Practical Exercises & Techniques
Calming Breath: A simple technique where you inhale for a count of 5 and exhale through the mouth for a count of 10 to immediately lower stress [34:44].

Bhramari Pranayama (Bumblebee Breath): A humming practice that creates internal vibrations. These vibrations travel through the nerves and blood vessels to calm the mind and hormones [39:17].

Q&A Highlights
Dealing with Criticism: To stop being affected by others' words, one must strengthen their internal self-worth through positive affirmations [43:00].

Physical Symptoms of Anxiety: For those who feel anxiety in their stomach or legs, Madhu recommends yoga and stretching to release ""negative energy blocks"" in the muscles [44:22].

Parental Pressure: She suggests open communication and ""venting"" feelings to parents or peers rather than suppressing them, which leads to burnout [46:38].",,,https://www.linkedin.com/posts/girlsleadingtech_our-next-session-featured-miss-madhu-sathvik-activity-7305600533317177344-IgUs?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,3.9,6,99,,,
How to become a Codess Cafe Mentee,06/04/2025,15:00,"Urvashi Agarwal
Garima Jha
Sweta Pandey ","https://www.linkedin.com/in/garimajha25/
https://www.linkedin.com/in/sweta-pandey-37178a22b/
https://www.linkedin.com/in/uraviva/",Intern,DRDO,Google Meet,91,https://www.youtube.com/watch?v=F3bvY6T8iQo,46mins 2 s,"This video is a detailed panel discussion hosted by the community Girls Leading Tech, featuring three mentees (Urvashi, Garima, and Suvarna) who share their experiences and advice on how to successfully apply to and benefit from Codess.Cafe, a prominent mentorship platform for women in tech.

Introduction and Panelist Journeys
The session begins with the panelists sharing how they discovered the community, primarily through LinkedIn networking [04:46].

Suvarna: A second-year student who joined the 11th cohort and later the Machine Learning (ML) cohort. She emphasized the value of the community's hackathons and the guidance of mentors like Arsh Goyal [05:52].

Urvashi: Currently part of the Open Source cohort, she focused on how the community helped her transition from being a spectator on LinkedIn to an active contributor in open-source projects [07:06].

Garima: A summer intern at DRDO, she highlighted that she joined Codess.Cafe to find the guidance she was missing in her career, which eventually led her to dream placements and networking opportunities [07:43].

The Application and Selection Process
The core of the video addresses the specific criteria needed to get accepted into a cohort:

Core Parameters: Selection is heavily based on a candidate's LinkedIn profile (activity and connections) and GitHub profile (quality of projects) [08:49].

The ""Hunger"" Factor: Garima notes that the selection committee looks for ""hunger"" and genuine determination in the application [10:04].

Essay Questions: These are often more critical than the resume itself. Applicants must be authentic, explaining exactly what they expect from the program and why they are willing to dedicate their time [11:39].

Resumes for Freshers: For first-year students with limited experience, the panelists suggest including basic projects, certifications (even introductory ones like Linux or Infosys), and school-level leadership roles [14:14].

Cohort Structures
The video clarifies the difference between various types of programs within Codess.Cafe:

Generic Cohort: Focuses on personalized mentorship (usually one mentor for 10 girls), resume building, and general career guidance [27:59].

Specialized Cohorts (ML & Open Source): These are technical and curriculum-based. For example, the ML cohort includes sessions on Python, AI/ML theory, quizzes, and a final capstone project [37:38].

Community Groups: Beyond direct mentorship, there are large WhatsApp groups with over 1,000 members where daily job opportunities and resources are shared [28:06].

Practical Tips for Applicants
Activity as Experience: If you lack professional experience, the host suggests listing ""Active Contributor"" roles in tech communities (like Girls Leading Tech) on your resume to show engagement [31:51].

GPA Requirements: While a high CGPA (around 8.0) is helpful due to high competition, students with lower scores are still encouraged to apply if their projects and essays are strong [33:17].

Mentorship Longevity: Mentors often provide guidance far beyond the official cohort timeline, assisting with LinkedIn chats and referrals long after the sessions end [36:25].

Community Updates
The host, Manik, reveals a ""secret"" project: the community is building its own centralized website to consolidate scattered resources like scholarships, internships, and mentorships into one place [20:55].

The session concludes with a Q&A where panelists encourage introverted students to build confidence by participating in these live sessions [19:05].",,,https://www.linkedin.com/posts/girlsleadingtech_we-hosted-a-knowledge-packed-session-for-activity-7314630266759626752-Z26I?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,74.3,28,1300,,,
How to find the best events happening around you ,09/04/2025,19:00,Manik,https://www.linkedin.com/in/mrmanik,Chapter Director ,CMX,Google Meet,61,https://www.youtube.com/watch?v=TSZXUpS78oo,1hr 12mins 37s,"The video ""How to find the Events Happening around you?"" by the channel Girls Leading Tech is a comprehensive guide and interactive session led by Manik. It focuses on the importance of networking, how to discover tech events, and strategies for making the most out of them.

1. The Importance of Networking and Events
Real-world Impact: A guest named Katherine shares her experience attending a marketing event despite being an engineering student. This led to her connecting with founders and senior engineers, eventually securing an internship opportunity [01:28].

Personal Growth: Manik emphasizes that events are about making friends, not just professional ""networking."" These connections can lead to jobs, mentorship, and co-founders [29:15].

Overcoming Barriers: Manik encourages those who are shy to step out of their comfort zones, sharing how she overcame her own fear of being seen in meetings to become a regular speaker and community leader [03:45].

2. How to Evaluate an Event
Before registering, Manik suggests researching specific criteria to ensure the event is worth your time and energy [08:15]:

Sponsors: Look at the companies supporting the event (e.g., Google, Alchemy) to gauge the quality and potential career connections [18:06].

Agenda: Check if the topics align with your interests (AI, Blockchain, Soft Skills) [08:38].

Venue: Is it a professional hotel, a college, or a co-working space? The venue often reflects the event's scale [08:32].

Speakers/Mentors: Research them on LinkedIn beforehand. This allows you to prepare specific questions, making your interactions more meaningful than a generic ""hello"" [11:50].

3. Platforms to Find Events
Manik shares a curated list of platforms to track upcoming opportunities [32:46]:

Hackathons: MLH, Devfolio, and Devpost [33:10].

Tech-Specific: Luma (great for AI/ML and Web3 events), Kaggle (for Data Science), and ETH Global (for Blockchain) [45:00].

Community Groups: Google Developer Groups (GDG), Women Techmakers (WTM), and Meetup.com [42:06].

Flagship Events: Keep an eye on annual conferences from giants like Google (Google I/O), Microsoft, Canva, and GitHub [15:24].

4. Strategies for Getting Selected
For ""flagship"" or ""premium"" events with limited seating, Manik suggests:

Apply Early: Many organizers review applications on a rolling basis; once spots are filled, late applications are ignored [21:47].

Direct Outreach: Find the organizer on LinkedIn and send a DM expressing your genuine passion. Offer to contribute—for example, by writing an article or creating a vlog about the event [23:01].

Build Proof of Work: Having a strong LinkedIn or GitHub profile acts as your ""proof"" that you are a worthy attendee [25:34].

5. Safety and Practical Tips
Safety for Women: Especially for solo travelers, check the timings, the safety of the locality, and transportation accessibility [30:42].

Travel Strategy: If you live in a small city (like Manik or some attendees), be selective. Virtual events are a great way to build an international network without the exhaustion of travel [10:34].

Paid vs. Free: While free events are accessible, paid events often provide a ""higher quality"" of audience because they filter for genuine interest. However, for students, Manik suggests looking for volunteering opportunities to attend these for free [59:13].

6. Leveraging the Event (Post-Event)
Capture Memories: Take photos with speakers and attendees [01:09:49].

The Follow-Up: Don't let the connection die. Message your new contacts a few days later or set up a ""coffee chat"" via Google Meet to deepen the relationship [01:10:11].

Public Sharing: Post about what you learned on LinkedIn to build your own brand and ""proof of work"" [01:10:04].

The session concludes with a reminder that while professional growth is vital, one should not neglect health and family for the ""virtual world"" [01:11:01].",,,https://www.linkedin.com/posts/girlsleadingtech_we-guided-our-girls-through-this-fantastic-activity-7316257218209673216-YnSi?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,6.5,6,97,,,
How to Crack Google,20/04/2025,19:00,Deeksha Pandey,https://www.linkedin.com/in/deekshapandey16/,SDE III,Google,Google Meet,249,https://www.youtube.com/watch?v=uTANGbXJ4pY,39mins 8s,"In this video, Deeksha Pandey, an SDE III at Google, shares her detailed journey from a Tier-3 college to cracking top tech companies like Microsoft and Google.

Educational Background and Early Challenges
College Environment: Deeksha attended a state government college (BIET Jhansi) after not getting her preferred branch in NITs [01:44]. She notes that the college had a poor coding culture initially but offered flexibility with attendance, allowing her time for self-study [02:32].

Starting Point: She officially began her coding journey on May 1, 2020, during the COVID-19 lockdown, after finally arranging a laptop [03:31].

The Learning Roadmap
C++ & DSA: She spent about a month learning C++ through GeeksforGeeks and HackerRank [03:52]. For DSA, she followed the book Data Structures and Algorithms Made Easy by Narasimha Karumanchi [04:35].

Implementation Strategy: A key takeaway she emphasizes is implementing every data structure and algorithm from scratch rather than just solving word problems [05:05].

Competitive Programming (CP): Knowing that top companies wouldn't visit her campus, she started CP to build a strong profile [06:11]. Her routine involved 5-6 hours of DSA, 1-2 hours of web development, and 3-4 hours of CP daily [06:53].

Career Success & Job Hunt
The ""Off-Campus"" Struggle: She applied to many companies and faced numerous rejections for 7-8 months before landing her first offer from Infosys through HackWithInfy [07:31].

Microsoft & Google: She secured a Microsoft internship/FT offer via the Fixathon hackathon [08:08]. Shortly after, a Google recruiter reached out to her, leading to her eventual role at Google [08:24].

Total Timeline: It took approximately 1.5 to 2 years of consistent effort to reach her dream companies [11:34].

Key Advice for Aspiring Engineers
Resume Building: For Tier-3 students, she recommends participating in diversity-specific tech events (e.g., Adobe Women in Tech, Google STEP, Flipkart Runway) to stand out [09:22].

Project Metrics: When listing projects, use data points and metrics (e.g., ""increased UI visits by 10%"") to catch a recruiter's eye [21:19].

Interview Focus: She clarifies that Google interviews are 99% focused on DSA and problem-solving skills rather than specific frameworks or projects [17:18].

Don't Rush: Deeksha critiques ""DSA in 30 days"" roadmaps, stating that it takes at least 6 months to a year to truly master the concepts [36:49].

Mental Well-being: She reminds students that landing a job is not the ""end goal"" and encourages them to enjoy college life and avoid burnout [13:38].

Q&A Highlights
Hackathons vs. Internships: She found hackathons more instrumental in her personal journey, as her resume was primarily filled with competition wins [19:04].

Upsolving: To improve at CP, she stresses ""upsolving""—re-attempting questions you couldn't solve during a contest after looking at the editorial [23:38].

Pattern Recognition: She suggests maintaining a notebook to categorize problems into ""buckets"" based on patterns for more efficient revision [34:22].",,,https://www.linkedin.com/posts/girlsleadingtech_our-session-taught-92-girls-on-how-they-can-activity-7319772302693281792-NaMo?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,72,49,972,,,
from topper to AFE Scholar,30/04/2025,,siddhi gupta,https://www.linkedin.com/in/siddhiguptas/,scholar ,Amazon Future Engineer,Google Meet,live,https://www.youtube.com/watch?v=l2ysqBR6yHI&pp=0gcJCdkKAYcqIYzv,23mins 6s,"This video from the Girls Leading Tech spotlight series features Siddhi Gupta, a first-year Computer Science student at NIT Kurukshetra, who shares her journey from being an academic topper to becoming an Amazon Future Engineer (AFE) Scholar.

Academic Background & Achievements
Academic Excellence: Siddhi has a stellar academic record, scoring 99.4% in Class 10th, 97.6% in Class 12th, and achieving a 99.25 percentile in JEE Mains [00:13].

The AFE Scholarship: She discovered the Amazon Future Engineer scholarship through a senior. The program provides not only financial support but also learning resources and a direct path to an internship at Amazon [02:12].

Selection Process: The selection involved writing a detailed essay about her background and future goals, followed by an interview that focused on her passion for coding and her plans for the scholarship [02:43].

Technical Journey & Consistency
Early Start: Siddhi began coding in 9th grade with Python, HTML, and CSS [04:53].

College Preparation: Before even starting her first semester, she proactively completed nearly half of her Data Structures and Algorithms (DSA) curriculum using YouTube resources like Striver [05:31].

Current Tech Stack: By the end of her first year, she had completed a significant amount of DSA (300-400 questions) and moved into Web Development, learning JavaScript, React, and Backend development [06:18].

Daily Routine: She maintains discipline by waking up early to solve 3-4 DSA questions daily before attending college classes [12:01].

Success Strategies & Advice
Peer Support: She emphasizes the importance of a like-minded friend circle. Her friends at NIT Kurukshetra participate in coding contests together and hold each other accountable [08:05].

The ""Apply First"" Mindset: Siddhi’s mantra is to apply for every opportunity (like GSOC or Hackathons) without overthinking whether she is ""ready."" She believes you become ready through the process [15:51].

Focus on Skills: She notes that while college name (like an NIT) helps, the current market requires strong off-campus application skills. ""What matters is your skill; work hard on it"" [19:39].

Consistency over Intensity: She advises sticking to one topic (like finishing DSA or a specific Web Dev project) rather than constantly switching between subjects, which leads to ""tutorial hell"" [16:57].

Future Outlook
As an AFE scholar, Siddhi is currently enrolled in a 10-month coding bootcamp. She is preparing for an Online Assessment (OA) in January, which could lead to an internship at Amazon between May and July of her second year [14:15].",,,,23.3,35,756,,,
How to Crack Intuit,03/05/2025,19:00,Akanksha Buchke,https://www.linkedin.com/in/akanksha-buchke/,Intuit,Senior Software Engineer,Google Meet,86,https://www.youtube.com/watch?v=VRhuMVR_XTw,1hr6mins 49s,"This video is an extensive mentorship session featuring Akanksha Buchke, a Senior Software Engineer at Intuit, who shares a comprehensive roadmap for students and professionals looking to crack roles at top product-based companies like Intuit, Google, and Microsoft.

The session is structured around a Five-Step Framework designed to take a candidate from a beginner level to being job-ready.

1. The Five-Step Framework [05:10]
Step 1: Master a Programming Language [05:25]

The speaker emphasizes that the specific language is less important than starting.

Java is recommended for those interested in development (Spring Boot).

Python is suggested for beginners or those interested in Data Science/AI.

C++ is preferred for those focused on competitive programming due to execution speed.

Step 2: Practice Data Structures and Algorithms (DSA) [07:11]

Approach: Start with basics (Arrays, Strings), move to intermediate (Stacks, Queues, Linked Lists), and then advanced topics (Trees, DP, Graphs) [10:50].

Consistency: Solve at least 3 questions daily. Over 6 months, this totals ~500 questions [10:04].

Platforms: Use LeetCode (for topic-wise practice) and GeeksforGeeks (for company-specific tags) [10:30].

Step 3: Projects and Internships [21:15]

DSA gets you through coding rounds, but projects/internships are critical for technical interviews.

Recommended domains: Web Development (MERN/Java Spring Boot) or AI/ML [22:42].

Internships: Don't just target Big Tech; startups and government organizations (ISRO, BHEL) provide excellent exposure [23:43].

Step 4: Computer Science Fundamentals [26:10]

Focus on core subjects: OOPS, DBMS, Operating Systems, and Computer Networks.

Prepare for Aptitude and Reasoning to clear initial Online Assessments (OA) [27:19].

Step 5: Resume and LinkedIn Optimization [27:49]

Resume: Use an ATS-friendly template. Avoid photos, multiple colors, or skill-rating bars [35:06].

LinkedIn: Use the ""Featured"" section for certificates and top coding profiles. Connect with recruiters and employees early, not just when you need a referral [38:12].

2. Intuit-Specific Interview Process [41:03]
Akanksha details the specific hiring workflow at Intuit:

Online Assessment (OA): 4 questions in 90 minutes. Difficulty ranges from LeetCode Medium to Hard [41:11].

Technical Round 1: Primarily focused on DSA (DP, Greedy, Graphs) [41:35].

Technical Round 2: Focused on projects, past experiences, and ""Techno-managerial"" discussions to check culture fit [42:41].

Final Round: HR discussion and offer release.

3. Key Career Advice & Q&A Highlights
CGPA: Aim for at least 7.0+, though 8.0+ is ideal for staying eligible for all companies [43:51].

Time Management in Interviews: Aim to think and code a solution within 20–25 minutes [14:37].

Handling Failure: If you can't solve a problem after 30 minutes of thinking, watch a tutorial, take notes, and try similar problems later [01:04:04].

System Design: Usually not required for freshers/interns, but you should understand your project's architecture and why you chose specific databases [48:34].

The session concludes with a live Q&A where Akanksha encourages students from Tier-3 colleges to focus heavily on their project quality and networking to overcome the lack of on-campus opportunities [03:42].",,,https://www.linkedin.com/posts/girlsleadingtech_we-organised-a-mentorship-session-on-how-activity-7324642744268705794-i6Mb?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,7.1,2,142,,,
"she's a We, GHC, SheFi Scholar and HPAIR Delegate",05/05/2025,,samridhi gupta,https://www.linkedin.com/in/samridhi-gupta08/,scholar ,Google WE,Google Meet,live,https://www.youtube.com/watch?v=Yx5jibuU5hg,22mins 45s,"This video is an interview with Samridhi Gupta, a second-year engineering student who has secured several prestigious scholarships and fellowships. She shares her journey, the application processes for various programs, and advice for women in tech.

1. Key Opportunities & Programs
Samridhi discusses several high-profile programs she has been a part of:

Women Engineers (WE) Program (TalentSprint & Google): [02:00]

A 24-month immersive program for first-year female students.

Selection Process: Includes rounds for Aptitude, Coding (Python/C), English Proficiency, and a Personal Interview [02:42].

Benefits: Access to a supportive community (""WE-booms""), mentorship, and an edge for Google STEP internships [05:18].

HPAIR (Harvard Project for Asian and International Relations): [06:44]

A conference-based program with an application involving situational essay questions and interviews [06:51].

Offers opportunities to meet global leaders at Harvard or in Asia (e.g., Tokyo) [07:35].

Google Girl Hackathon: [09:12]

An individual hackathon (no team required).

Rounds: Coding round followed by a project-building phase based on specific themes [10:16].

Grace Hopper Celebration (GHC) Scholarship: [11:46]

A scholarship that covers the high cost (₹15k–30k) of the world's largest gathering of women in computing [13:03].

SheFi Scholar: Part of her achievements in the Web3/crypto space [00:13].

2. Application Timeline (Estimates)
HPAIR: Usually opens around March–April and October–November [13:41].

WE Program: Applications typically start around December [14:08].

Google Girl Hackathon: Generally opens in January [14:26].

Generation Google Scholarship (GGS): Often opens around August [14:44].

3. Academic & Career Advice
LinkedIn is Crucial: Samridhi credits LinkedIn for all her opportunities. She recommends following active mentors like Arsh Goyal and Kushal Vijay to stay updated [01:09].

Balancing DSA and Development: [17:14]

She advises doing both simultaneously: focus on DSA during weekdays and Development on weekends.

Starting DSA in the first year or second semester gives a massive confidence boost for internship season [18:41].

Time Management: Utilize college hours to finish academic work so that evenings can be dedicated to specialized programs like WE classes [15:11].

4. Final Encouragement
Samridhi emphasizes the importance of reaching out to seniors on LinkedIn and staying persistent [20:23]. She concludes with the ""I Am Remarkable"" activity, highlighting her pride in her confidence and her journey as a scholar [22:05].",,,https://www.linkedin.com/posts/girlsleadingtech_we-just-launched-a-new-episode-of-glt-spotlight-activity-7325189556398362626-vfGU?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,22.5,27,589,,,
from application to acceptance - naina's harvard wecode story ,27/05/2025,,naina modi,https://www.linkedin.com/in/naina-modi-145209322/,scholar ,harvard we code,Google Meet,live,https://www.youtube.com/watch?v=fERcXjig4jM,28mins 48s,"This video features an interview with Naina Modi, a first-year Computer Science student at LNCT Bhopal, who has achieved remarkable success by securing multiple prestigious scholarships and fellowships early in her college journey.

The conversation provides a roadmap for students to navigate technical opportunities and community involvement.

1. Key Achievements & Background
Naina is a recipient of several notable programs, including:

Harvard WE Code Scholar [00:17]

Amazon Future Engineer (AFE) Scholar [00:08]

GHC (Grace Hopper Celebration) India Scholar [00:17]

Forté Cash Mentee and Cisco sheCodes Mentee [00:08]

She transitioned from JEE preparation to focusing on AI and Machine Learning, driven by curiosity about tools like ChatGPT [10:26].

2. Deep Dive: Harvard WE Code Scholarship
Naina provides detailed insights into the Harvard Women Engineers Code (WE Code) program:

The Program: It is the world’s largest student-run conference organized by Harvard University to empower women and gender minorities in tech [14:20].

Application Process: The application window usually opens between October and November [16:54].

The Essay is Key: Unlike many technical applications, this one focuses heavily on essay questions. Naina emphasizes writing in a story format, being authentic, and sharing unique personal challenges [14:50].

AI Usage: She advises against using AI to generate the entire essay. While it can help with structure, the ""soul"" of the story must be yours to stand out [15:56].

Scholarship Types: There are virtual and in-person (extended) scholarships. The extended version can cover travel and accommodation [17:20].

3. Managing Tech Skills & Academics
Time Management: Naina balances a 75% attendance requirement by finishing college-related studies during college hours, leaving her evenings free for upskilling [12:36].

Learning Resources: She primarily uses YouTube for free courses and platforms like LeetCode and HackerRank to practice Java and DSA [24:39].

Projects: Despite being in her first year, she has built projects like Fake Currency Detection and Fake News Detection using Python libraries like Matplotlib and Logistic Regression [11:00].

4. Advice for Aspiring Tech Students
Start Early: Don't wait for your college to teach you. Explore different fields (Web Dev, AI, Cloud) early to find your interest [22:40].

Networking: She credits her awareness of these programs to LinkedIn and her elder sister [02:35]. She encourages joining communities like Girls Leading Tech to stay updated on opportunities [23:41].

Handling Rejection: Naina shares her experience of being rejected from an Open Source program (Outreachy) and emphasizes that rejection is normal; it should be used as a learning step rather than a reason to quit [08:41].

5. Career Goals
Short-term: Securing an internship at Amazon in her second year through the AFE program [04:19].

Long-term: Aiming for a role in a MAANG (FAANG) company with a target package of around 30-50 LPA [21:12].",,,https://www.linkedin.com/posts/girlsleadingtech_our-new-episode-of-glt-spotlight-is-out-activity-7333112202905718784-Anvl?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,12.5,8,278,,"Check our Naina's Article on Harvard WE Code: https://cuddly-perfume...

Havard WE Code Website : https://www.wecodeconf...
",
How to Crack LFX,01/06/2025,19:00,Chinmayi D.S,https://www.linkedin.com/in/chinmayi-d-s-2608b0263/,Mentee,LFX,Google Meet,119,https://www.youtube.com/watch?v=20SraqgHPo4,43mins 4s,"This video is an extensive guide by Chinmayee Das, a 2024 LFX mentee and 2025 Google Summer of Code (GSoC) contributor, on how to successfully get into the Linux Foundation Mentorship (LFX).

Below is a detailed summary of the key sections and advice provided in the session:

1. Understanding the LFX Mentorship Program
Structure: Unlike GSoC, LFX is a year-round program divided into three terms: Spring, Summer, and Fall [02:44].

Eligibility: It is specifically designed for first-time open-source contributors and learners, meaning once you have been a mentee, you cannot apply again [04:15].

Project Duration: Projects typically last 3 to 6 months [03:22].

Application Limit: You can apply to up to three organizations per term [03:08].

Benefits: Mentees receive a significant stipend (varies by country) and gain hands-on experience working with world-class mentors from companies like Walmart and organizations like Hyperledger [03:40].

2. The Selection Process
The process generally consists of two main stages:

Stage 1: Application Round [07:10]
Most organizations require a Resume and a Cover Letter. Some may also ask for:

An NOC (No Objection Certificate) from your university.

Specific mini-tasks to prove your technical ability.

Tips for a Strong Cover Letter: [08:08]

Clearly state why you chose the specific project and what you hope to gain.

Highlight relevant technical skills and link to past projects as proof.

Mention both code contributions (pull requests, bug fixes) and non-code contributions (documentation updates, README improvements).

Stage 2: The Interview Round [10:02]
Interviews usually last 40–45 minutes and are conducted by the project mentors.

Be Prepared for Time Zones: Chinmayee’s interview was at 6:00 AM due to her mentor being in the US [10:36].

Common Questions: Expect to discuss your best project in detail, your history with open source, and your understanding of the specific project you applied for.

Project Knowledge: You must understand every word in the project title. Research the ""stack"" and ""plugins/extensions"" involved beforehand [14:19].

3. How to Increase Your Chances
Explore Early: Use the LFX official site to filter projects by your skill set [28:14].

Documentation & Setup: Clone the repository and try to set it up locally. Even if you don't understand every line of code, showing that you can navigate the environment is vital [17:39].

Engage with the Community: Join Slack or Discord channels. Help other contributors with their setup or environment issues to demonstrate leadership [21:22].

Networking: Reach out to past mentees on LinkedIn for cover letter reviews or read their Medium articles for specific insights [19:19].

Contact Mentors: Don't be afraid to message mentors, but ensures your questions are well-researched and specific rather than generic [20:28].

4. Key Takeaways & Q&A Highlights
Non-CS Backgrounds: Chinmayee is a Mechanical Engineering student. She emphasizes that you don't need a CS degree; you just need to be a self-learner using resources like YouTube and GitHub [37:04].

Skill Requirements: You don’t need to know all 20+ skills listed for a project. If you know 3–4 core skills, apply and express your willingness to learn the rest [28:52].

The ""No Self-Rejection"" Rule: Her favorite advice is to apply even if you feel unqualified. ""Don't worry about failures; worry about the chances you miss when you don't even try"" [21:45].

Persistence: It took Chinmayee two years to get into LFX and three years for GSoC. Consistency is the most important factor [40:33].",,,https://www.linkedin.com/posts/girlsleadingtech_we-hosted-a-mentorship-session-on-the-linux-activity-7335589225423097857-L-QK?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEHLhGYBQtqDasWkBP5_YSSHtNeZ8fMCcs4,139,60,2100,,LFX Mentorship Link - https://lfx.linuxfound,
